File,Time
rope_7500.shuffled.cnf,3182.105847
rope_0500.shuffled.cnf,4.046834
rope_2500.shuffled.cnf,243.063385
Urquhart-s3-b3.shuffled.cnf,3.942887
rope_0004.shuffled.cnf,0.018814
unif-c500-v250-s673243691.cnf,0.006335
rope_0003.shuffled.cnf,0.012135
Urquhart-s3-b2.shuffled.cnf,1.565352
unif-c500-v250-s1560418558.cnf,0.006999
rope_0005.shuffled.cnf,0.019913
unif-c500-v250-s1228594393.cnf,0.006494
Urquhart-s3-b4.shuffled.cnf,10.742968
Urquhart-s3-b5.shuffled.cnf,5.836077
rope_1000.shuffled.cnf,17.828927
rope_5000.shuffled.cnf,1309.707435
rope_0002.shuffled.cnf,0.009174
rope_0001.shuffled.cnf,0.007139
unif-c500-v250-s453695930.cnf,0.007789
unif-c500-v250-s1888225086.cnf,0.00987
Urquhart-s3-b1.shuffled.cnf,2.036468
